날짜,요일,경기장,날씨,평균기온,관중수,확진자 수
2018-07-11,수,서울 잠실 야구장,비,29.5℃,9417,0
2018-07-12,목,서울 잠실 야구장,비,28.2℃,9947,0
2018-07-17,화,서울 잠실 야구장,맑음,32.1℃,12122,0
2018-07-18,수,서울 잠실 야구장,맑음,33.2℃,11707,0
2018-07-19,목,서울 잠실 야구장,맑음,34.1℃,12265,0
2018-07-20,금,서울 잠실 야구장,맑음,34.7℃,19800,0
2018-07-21,토,서울 잠실 야구장,맑음,36.9℃,22550,0
2018-07-22,일,서울 잠실 야구장,구름조금,38℃,18463,0
2018-07-24,화,서울 잠실 야구장,구름조금,36.8℃,9393,0
2018-07-25,수,서울 잠실 야구장,구름많음,34.1℃,8849,0
2018-07-26,목,서울 잠실 야구장,구름많음,33.7℃,9415,0
2018-07-27,금,서울 잠실 야구장,맑음,35.4℃,19023,0
2018-07-28,토,서울 잠실 야구장,비,35.2℃,22202,0
2018-07-29,일,서울 잠실 야구장,맑음,36.7℃,21084,0
2018-07-31,화,서울 잠실 야구장,구름조금,38.3℃,13107,0
2018-08-01,수,서울 잠실 야구장,맑음,39.6℃,12145,0
2018-08-02,목,서울 잠실 야구장,구름조금,37.9℃,13304,0
2018-08-04,토,서울 잠실 야구장,구름조금,34.9℃,12070,0
2018-08-05,일,서울 잠실 야구장,비,33.9℃,8689,0
2018-08-07,화,서울 잠실 야구장,구름조금,35.9℃,13184,0
2018-08-08,수,서울 잠실 야구장,구름조금,35.3℃,14047,0
2018-08-09,목,서울 잠실 야구장,비,32.5℃,10007,0
2018-08-10,금,서울 잠실 야구장,구름조금,36.8℃,12706,0
2018-08-11,토,서울 잠실 야구장,구름조금,36℃,18426,0
2018-08-12,일,서울 잠실 야구장,비,35.3℃,14175,0
2018-08-14,화,서울 잠실 야구장,구름많음,37.2℃,11132,0
2018-08-15,수,서울 잠실 야구장,비,38℃,12244,0
2018-08-16,목,서울 잠실 야구장,구름조금,35.6℃,9168,0
2018-09-04,화,서울 잠실 야구장,구름조금,27.8℃,14603,0
2018-09-05,수,서울 잠실 야구장,맑음,28.5℃,17191,0
2018-09-06,목,서울 잠실 야구장,비,28.2℃,6944,0
2018-09-07,금,서울 잠실 야구장,비,25.5℃,7917,0
2018-09-08,토,서울 잠실 야구장,맑음,27.7℃,22908,0
2018-09-09,일,서울 잠실 야구장,맑음,28.9℃,19286,0
2018-09-11,화,서울 잠실 야구장,구름많음,26.1℃,8386,0
2018-09-12,수,서울 잠실 야구장,구름조금,28.2℃,8463,0
2018-09-13,목,서울 잠실 야구장,흐림,28.3℃,9214,0
2018-09-14,금,서울 잠실 야구장,비,26.8℃,10124,0
2018-09-15,토,서울 잠실 야구장,비,26℃,16558,0
2018-09-16,일,서울 잠실 야구장,비,23.9℃,13214,0
2018-09-18,화,서울 잠실 야구장,흐림,26.5℃,11101,0
2018-09-19,수,서울 잠실 야구장,비,26.6℃,10126,0
2018-09-20,목,서울 잠실 야구장,비,20.1℃,12019,0
2018-09-21,금,서울 잠실 야구장,비,21.9℃,17031,0
2018-09-22,토,서울 잠실 야구장,비,25.5℃,13314,0
2018-09-23,일,서울 잠실 야구장,구름조금,25.3℃,9444,0
2018-09-25,화,서울 잠실 야구장,맑음,24.3℃,24553,0
2018-09-26,수,서울 잠실 야구장,구름조금,24.8℃,15232,0
2018-09-27,목,서울 잠실 야구장,맑음,25℃,17937,0
2018-09-28,금,서울 잠실 야구장,구름많음,22.2℃,21766,0
2018-09-29,토,서울 잠실 야구장,맑음,27℃,24183,0
2018-09-30,일,서울 잠실 야구장,맑음,21.6℃,19274,0
2018-10-02,화,서울 잠실 야구장,맑음,22℃,5512,0
2018-10-03,수,서울 잠실 야구장,맑음,24.2℃,11896,0
2018-10-06,토,서울 잠실 야구장,비,21.7℃,19891,0
2018-10-07,일,서울 잠실 야구장,구름조금,21.1℃,25000,0
2018-10-10,수,서울 잠실 야구장,비,16.7℃,11126,0
2018-10-11,목,서울 잠실 야구장,맑음,13.9℃,10987,0
2018-10-12,금,서울 잠실 야구장,맑음,17.4℃,10914,0
2018-10-13,토,서울 잠실 야구장,맑음,19.8℃,18528,0
2019-03-23,토,서울 잠실 야구장,비,8.2℃,25000,0
2019-03-24,일,서울 잠실 야구장,맑음,9.7℃,25000,0
2019-03-26,화,서울 잠실 야구장,구름조금,17.6℃,6155,0
2019-03-27,수,서울 잠실 야구장,흐림,16.2℃,5784,0
2019-03-28,목,서울 잠실 야구장,구름많음,14.6℃,6752,0
2019-03-29,금,서울 잠실 야구장,구름조금,15.1℃,19370,0
2019-03-30,토,서울 잠실 야구장,비,8.4℃,20601,0
2019-03-31,일,서울 잠실 야구장,구름조금,8.4℃,21267,0
2019-04-02,화,서울 잠실 야구장,맑음,13℃,6091,0
2019-04-03,수,서울 잠실 야구장,맑음,13.6℃,5811,0
2019-04-04,목,서울 잠실 야구장,맑음,15.7℃,5427,0
2019-04-05,금,서울 잠실 야구장,구름조금,17.2℃,10365,0
2019-04-06,토,서울 잠실 야구장,비,12.2℃,14279,0
2019-04-07,일,서울 잠실 야구장,구름조금,20.3℃,16081,0
2019-04-10,수,서울 잠실 야구장,비,10.2℃,10261,0
2019-04-11,목,서울 잠실 야구장,구름조금,15.7℃,11168,0
2019-04-12,금,서울 잠실 야구장,맑음,18.4℃,18489,0
2019-04-13,토,서울 잠실 야구장,구름많음,17.9℃,25000,0
2019-04-14,일,서울 잠실 야구장,비,13.6℃,15459,0
2019-04-16,화,서울 잠실 야구장,구름조금,22.6℃,8633,0
2019-04-17,수,서울 잠실 야구장,구름조금,21.8℃,9217,0
2019-04-18,목,서울 잠실 야구장,구름많음,16.2℃,8624,0
2019-04-19,금,서울 잠실 야구장,구름조금,19.7℃,9936,0
2019-04-20,토,서울 잠실 야구장,비,19.1℃,16362,0
2019-04-21,일,서울 잠실 야구장,비,20.2℃,14364,0
2019-04-23,화,서울 잠실 야구장,흐림,25.5℃,12485,0
2019-04-24,수,서울 잠실 야구장,비,25.9℃,14171,0
2019-04-26,금,서울 잠실 야구장,비,9.9℃,15257,0
2019-04-27,토,서울 잠실 야구장,구름조금,18.2℃,24027,0
2019-04-28,일,서울 잠실 야구장,흐림,16.6℃,20219,0
2019-04-30,화,서울 잠실 야구장,구름조금,22.5℃,10144,0
2019-05-01,수,서울 잠실 야구장,맑음,22.2℃,12582,0
2019-05-02,목,서울 잠실 야구장,맑음,25.3℃,9806,0
2019-05-03,금,서울 잠실 야구장,맑음,26.1℃,24133,0
2019-05-04,토,서울 잠실 야구장,구름조금,27.4℃,25000,0
2019-05-05,일,서울 잠실 야구장,구름조금,26.5℃,25000,0
