관중통계(전체현황),,,,,,,,,,,,
"선택항목 : 단체 : K LEAGUE,KBO  리그 : K LEAGUE 1  시즌 : 2017,2018,2019,2020,2021  시즌구분  : RL  팀 : FC 서울,전북 현대,대구 FC,울산 현대,수원 삼성,두산,LG,롯데, SSG,NC  구단구분 : HOME     요일 : 전체   undefined :  undefined :",,,,,,,,,,,,
단체,리그,시즌,연도,월,일,요일,홈팀,원정팀,경기장,날씨,평균기온,관중수
KBO,정규리그,2021 시즌,2021,04,21,수,LG,KIA,서울 잠실 야구장,구름조금,28.2℃,2457
KBO,정규리그,2021 시즌,2021,04,21,수,롯데,두산,부산 사직 야구장,구름많음,25.3℃,1278
KBO,정규리그,2021 시즌,2021,04,21,수,NC,KT,창원NC파크,구름많음,28.7℃,1103
KBO,정규리그,2021 시즌,2021,04,20,화,NC,KT,창원NC파크,구름조금,26.7℃,1229
KBO,정규리그,2021 시즌,2021,04,20,화,LG,KIA,서울 잠실 야구장,구름조금,22℃,2453
KBO,정규리그,2021 시즌,2021,04,20,화,롯데,두산,부산 사직 야구장,구름조금,24.1℃,1197
KLEAGUE,K LEAGUE 1,2021 시즌,2021,04,18,일,전북 현대,성남 FC,전주월드컵경기장,구름조금,15.7℃,3635
KLEAGUE,K LEAGUE 1,2021 시즌,2021,04,18,일,수원 삼성,울산 현대,수원월드컵경기장,맑음,14.3℃,2761
KBO,정규리그,2021 시즌,2021,04,18,일,NC,한화,창원NC파크,맑음,18.7℃,2632
KBO,정규리그,2021 시즌,2021,04,18,일,롯데,삼성,부산 사직 야구장,맑음,18.1℃,2364
KBO,정규리그,2021 시즌,2021,04,18,일, SSG,KIA,인천SSG 랜더스필드,맑음,13.6℃,2300
KBO,정규리그,2021 시즌,2021,04,18,일,LG,두산,서울 잠실 야구장,맑음,15.3℃,2472
KLEAGUE,K LEAGUE 1,2021 시즌,2021,04,17,토,FC 서울,대구 FC,서울월드컵경기장,구름조금,14.6℃,2750
KBO,정규리그,2021 시즌,2021,04,17,토,LG,두산,서울 잠실 야구장,구름조금,14.6℃,2472
KBO,정규리그,2021 시즌,2021,04,17,토,NC,한화,창원NC파크,구름조금,19.6℃,3495
KBO,정규리그,2021 시즌,2021,04,17,토,롯데,삼성,부산 사직 야구장,구름조금,19.9℃,2364
KBO,정규리그,2021 시즌,2021,04,17,토, SSG,KIA,인천SSG 랜더스필드,구름조금,12.5℃,2300
KBO,정규리그,2021 시즌,2021,04,16,금,NC,한화,창원NC파크,구름많음,21.5℃,5061
KBO,정규리그,2021 시즌,2021,04,16,금,롯데,삼성,부산 사직 야구장,구름많음,19.1℃,1927
KBO,정규리그,2021 시즌,2021,04,16,금, SSG,KIA,인천SSG 랜더스필드,비,13.2℃,2300
KBO,정규리그,2021 시즌,2021,04,16,금,LG,두산,서울 잠실 야구장,비,14.8℃,2442
KBO,정규리그,2021 시즌,2021,04,15,목, SSG,NC,인천SSG 랜더스필드,구름조금,14.2℃,1539
KBO,정규리그,2021 시즌,2021,04,15,목,두산,KT,서울 잠실 야구장,구름조금,18.3℃,1124
KBO,정규리그,2021 시즌,2021,04,14,수,두산,KT,서울 잠실 야구장,맑음,13.3℃,1038
KBO,정규리그,2021 시즌,2021,04,14,수, SSG,NC,인천SSG 랜더스필드,맑음,11℃,1571
KBO,정규리그,2021 시즌,2021,04,13,화, SSG,NC,인천SSG 랜더스필드,비,11.4℃,1632
KBO,정규리그,2021 시즌,2021,04,13,화,두산,KT,서울 잠실 야구장,비,13.5℃,1128
KLEAGUE,K LEAGUE 1,2021 시즌,2021,04,11,일,전북 현대,인천 Utd,전주월드컵경기장,맑음,23.9℃,3128
KBO,정규리그,2021 시즌,2021,04,11,일,LG, SSG,서울 잠실 야구장,구름조금,21.8℃,2454
KBO,정규리그,2021 시즌,2021,04,11,일,롯데,키움히어로즈,부산 사직 야구장,맑음,18.9℃,2364
KLEAGUE,K LEAGUE 1,2021 시즌,2021,04,10,토,FC 서울,포항 스틸러스,서울월드컵경기장,맑음,18.8℃,4147
KBO,정규리그,2021 시즌,2021,04,10,토,롯데,키움히어로즈,부산 사직 야구장,맑음,15.7℃,2364
KBO,정규리그,2021 시즌,2021,04,10,토,LG, SSG,서울 잠실 야구장,맑음,18.8℃,2431
KBO,정규리그,2021 시즌,2021,04,09,금,LG, SSG,서울 잠실 야구장,맑음,19.6℃,2414
KBO,정규리그,2021 시즌,2021,04,09,금,롯데,키움히어로즈,부산 사직 야구장,구름조금,16.6℃,2364
KBO,정규리그,2021 시즌,2021,04,08,목,두산,삼성,서울 잠실 야구장,맑음,18℃,2273
KBO,정규리그,2021 시즌,2021,04,08,목, SSG,한화,인천SSG 랜더스필드,맑음,16.4℃,2278
KBO,정규리그,2021 시즌,2021,04,08,목,NC,롯데,창원NC파크,맑음,22.3℃,2261
KLEAGUE,K LEAGUE 1,2021 시즌,2021,04,07,수,울산 현대,FC 서울,울산문수축구경기장,맑음,19.2℃,3038
KBO,정규리그,2021 시즌,2021,04,07,수,NC,롯데,창원NC파크,맑음,23.1℃,2225
KBO,정규리그,2021 시즌,2021,04,07,수,두산,삼성,서울 잠실 야구장,맑음,20.4℃,2142
KBO,정규리그,2021 시즌,2021,04,07,수, SSG,한화,인천SSG 랜더스필드,맑음,16.7℃,2264
KLEAGUE,K LEAGUE 1,2021 시즌,2021,04,06,화,대구 FC,성남 FC,DGB대구은행파크,맑음,21.4℃,2169
KBO,정규리그,2021 시즌,2021,04,06,화, SSG,한화,인천SSG 랜더스필드,맑음,15℃,2268
KBO,정규리그,2021 시즌,2021,04,06,화,NC,롯데,창원NC파크,맑음,21.4℃,2327
KBO,정규리그,2021 시즌,2021,04,06,화,두산,삼성,서울 잠실 야구장,맑음,19.2℃,2245
KBO,정규리그,2021 시즌,2021,04,04,일,두산,KIA,서울 잠실 야구장,비,15.8℃,2410
KBO,정규리그,2021 시즌,2021,04,04,일, SSG,롯데,인천SSG 랜더스필드,비,15.6℃,2300
KBO,정규리그,2021 시즌,2021,04,04,일,NC,LG,창원NC파크,비,15.3℃,4376
KLEAGUE,K LEAGUE 1,2021 시즌,2021,04,03,토,FC 서울,강원 FC,서울월드컵경기장,비,18℃,3165
KLEAGUE,K LEAGUE 1,2021 시즌,2021,04,03,토,수원 삼성,전북 현대,수원월드컵경기장,비,18.6℃,3169
KLEAGUE,K LEAGUE 1,2021 시즌,2021,03,21,일,대구 FC,울산 현대,DGB대구은행파크,구름많음,11.7℃,3055
KLEAGUE,K LEAGUE 1,2021 시즌,2021,03,21,일,수원 삼성,FC 서울,수원월드컵경기장,구름조금,8.9℃,3311
KLEAGUE,K LEAGUE 1,2021 시즌,2021,03,20,토,전북 현대,수원 FC,전주월드컵경기장,비,11.1℃,3549
KLEAGUE,K LEAGUE 1,2021 시즌,2021,03,17,수,FC 서울,광주 FC,서울월드컵경기장,맑음,17.5℃,2723
KLEAGUE,K LEAGUE 1,2021 시즌,2021,03,16,화,전북 현대,대구 FC,전주월드컵경기장,비,15.6℃,2378
KLEAGUE,K LEAGUE 1,2021 시즌,2021,03,16,화,울산 현대,제주 Utd,울산문수축구경기장,비,21.6℃,2294
KLEAGUE,K LEAGUE 1,2021 시즌,2021,03,14,일,수원 삼성,강원 FC,수원월드컵경기장,구름조금,13.4℃,2880
KLEAGUE,K LEAGUE 1,2021 시즌,2021,03,13,토,대구 FC,제주 Utd,DGB대구은행파크,맑음,16℃,2616
KLEAGUE,K LEAGUE 1,2021 시즌,2021,03,10,수,대구 FC,광주 FC,DGB대구은행파크,맑음,14.1℃,1876
KLEAGUE,K LEAGUE 1,2021 시즌,2021,03,09,화,전북 현대,강원 FC,전주월드컵경기장,구름많음,13.5℃,2477
KLEAGUE,K LEAGUE 1,2021 시즌,2021,03,09,화,울산 현대,인천 Utd,울산문수축구경기장,흐림,15.1℃,2231
KLEAGUE,K LEAGUE 1,2021 시즌,2021,03,07,일,FC 서울,수원 FC,서울월드컵경기장,구름조금,12.2℃,4100
KLEAGUE,K LEAGUE 1,2021 시즌,2021,03,07,일,수원 삼성,성남 FC,수원월드컵경기장,구름조금,10.8℃,3087
KLEAGUE,K LEAGUE 1,2021 시즌,2021,03,01,월,울산 현대,강원 FC,울산문수축구경기장,비,16℃,3943
KLEAGUE,K LEAGUE 1,2021 시즌,2021,02,28,일,수원 삼성,광주 FC,수원월드컵경기장,구름많음,10.7℃,3258
KLEAGUE,K LEAGUE 1,2021 시즌,2021,02,27,토,전북 현대,FC 서울,전주월드컵경기장,구름많음,15.3℃,6199
KLEAGUE,K LEAGUE 1,2021 시즌,2021,02,27,토,대구 FC,수원 FC,DGB대구은행파크,흐림,8.9℃,3025
KLEAGUE,K LEAGUE 1,2020 시즌,2020,11,01,일,울산 현대,광주 FC,울산문수축구경기장,비,15.7℃,3478
KLEAGUE,K LEAGUE 1,2020 시즌,2020,11,01,일,전북 현대,대구 FC,전주월드컵경기장,비,13.8℃,10251
KLEAGUE,K LEAGUE 1,2020 시즌,2020,10,31,토,FC 서울,인천 Utd,서울월드컵경기장,구름많음,18.2℃,5485
KBO,정규리그,2020 시즌,2020,10,30,금,롯데,KIA,부산 사직 야구장,맑음,21℃,3223
